discount_factor,learn_rate_policy,learn_rate_value,hidden_dim_policy,hidden_dim_value,init_temp,result
0.98,0.01,0.01,64,64,1.05,15.094666666666665
0.98,0.01,0.01,64,64,1.1,17.195466666666665
0.98,0.01,0.01,64,64,1.15,19.632266666666666
0.98,0.01,0.01,64,128,1.05,18.769333333333332
0.98,0.01,0.01,64,128,1.1,18.0384
0.98,0.01,0.01,64,128,1.15,16.0168
0.98,0.01,0.01,64,256,1.05,16.401866666666667
0.98,0.01,0.01,64,256,1.1,18.211466666666666
0.98,0.01,0.01,64,256,1.15,12.924266666666668
0.98,0.01,0.01,128,64,1.05,17.79333333333333
0.98,0.01,0.01,128,64,1.1,19.313599999999997
0.98,0.01,0.01,128,64,1.15,23.610666666666667
0.98,0.01,0.01,128,128,1.05,25.03946666666667
0.98,0.01,0.01,128,128,1.1,16.08826666666667
0.98,0.01,0.01,128,128,1.15,20.809333333333335
0.98,0.01,0.01,128,256,1.05,20.185066666666668
0.98,0.01,0.01,128,256,1.1,17.26053333333333
0.98,0.01,0.01,128,256,1.15,22.6272
0.98,0.01,0.01,256,64,1.05,18.549866666666667
0.98,0.01,0.01,256,64,1.1,25.632800000000003
0.98,0.01,0.01,256,64,1.15,26.253866666666664
0.98,0.01,0.01,256,128,1.05,26.349333333333334
0.98,0.01,0.01,256,128,1.1,26.5616
0.98,0.01,0.01,256,128,1.15,21.0288
0.98,0.01,0.01,256,256,1.05,23.313333333333333
0.98,0.01,0.01,256,256,1.1,23.4536
0.98,0.01,0.01,256,256,1.15,23.85573333333333
0.98,0.01,0.001,64,64,1.05,19.764
0.98,0.01,0.001,64,64,1.1,14.575733333333332
0.98,0.01,0.001,64,64,1.15,20.907466666666668
0.98,0.01,0.001,64,128,1.05,14.825066666666668
0.98,0.01,0.001,64,128,1.1,21.316533333333332
0.98,0.01,0.001,64,128,1.15,21.019466666666666
0.98,0.01,0.001,64,256,1.05,17.950666666666667
0.98,0.01,0.001,64,256,1.1,18.629066666666667
0.98,0.01,0.001,64,256,1.15,16.31413333333333
0.98,0.01,0.001,128,64,1.05,19.5168
0.98,0.01,0.001,128,64,1.1,17.398666666666667
0.98,0.01,0.001,128,64,1.15,24.169066666666666
0.98,0.01,0.001,128,128,1.05,20.135466666666666
0.98,0.01,0.001,128,128,1.1,13.017333333333331
0.98,0.01,0.001,128,128,1.15,23.500533333333333
0.98,0.01,0.001,128,256,1.05,16.394133333333333
0.98,0.01,0.001,128,256,1.1,26.063466666666663
0.98,0.01,0.001,128,256,1.15,17.76986666666667
0.98,0.01,0.001,256,64,1.05,23.569333333333336
0.98,0.01,0.001,256,64,1.1,22.368533333333335
0.98,0.01,0.001,256,64,1.15,22.325599999999998
0.98,0.01,0.001,256,128,1.05,20.5192
0.98,0.01,0.001,256,128,1.1,20.6728
0.98,0.01,0.001,256,128,1.15,24.217333333333336
0.98,0.01,0.001,256,256,1.05,18.69653333333333
0.98,0.01,0.001,256,256,1.1,19.8024
0.98,0.01,0.001,256,256,1.15,19.9608
0.98,0.01,0.0001,64,64,1.05,22.564533333333337
0.98,0.01,0.0001,64,64,1.1,20.141066666666667
0.98,0.01,0.0001,64,64,1.15,25.68453333333333
0.98,0.01,0.0001,64,128,1.05,16.032533333333333
0.98,0.01,0.0001,64,128,1.1,23.0264
0.98,0.01,0.0001,64,128,1.15,21.888533333333335
0.98,0.01,0.0001,64,256,1.05,20.937066666666666
0.98,0.01,0.0001,64,256,1.1,20.53173333333333
0.98,0.01,0.0001,64,256,1.15,14.28213333333333
0.98,0.01,0.0001,128,64,1.05,22.97653333333333
0.98,0.01,0.0001,128,64,1.1,22.889333333333333
0.98,0.01,0.0001,128,64,1.15,20.46
0.98,0.01,0.0001,128,128,1.05,21.727733333333333
0.98,0.01,0.0001,128,128,1.1,21.126933333333334
0.98,0.01,0.0001,128,128,1.15,23.208266666666667
0.98,0.01,0.0001,128,256,1.05,23.644266666666667
0.98,0.01,0.0001,128,256,1.1,24.500533333333333
0.98,0.01,0.0001,128,256,1.15,20.245599999999996
0.98,0.01,0.0001,256,64,1.05,19.621866666666666
0.98,0.01,0.0001,256,64,1.1,24.7288
0.98,0.01,0.0001,256,64,1.15,24.395733333333332
0.98,0.01,0.0001,256,128,1.05,24.7312
0.98,0.01,0.0001,256,128,1.1,21.723466666666667
0.98,0.01,0.0001,256,128,1.15,20.528
0.98,0.01,0.0001,256,256,1.05,18.433333333333334
0.98,0.01,0.0001,256,256,1.1,19.626933333333334
0.98,0.01,0.0001,256,256,1.15,20.074666666666666
0.98,0.001,0.01,64,64,1.05,17.556533333333334
0.98,0.001,0.01,64,64,1.1,18.627999999999997
0.98,0.001,0.01,64,64,1.15,15.68346666666667
0.98,0.001,0.01,64,128,1.05,16.6848
0.98,0.001,0.01,64,128,1.1,22.3232
0.98,0.001,0.01,64,128,1.15,14.9024
0.98,0.001,0.01,64,256,1.05,15.765866666666668
0.98,0.001,0.01,64,256,1.1,17.718666666666667
0.98,0.001,0.01,64,256,1.15,14.4744
0.98,0.001,0.01,128,64,1.05,17.36
0.98,0.001,0.01,128,64,1.1,17.416533333333334
0.98,0.001,0.01,128,64,1.15,16.098933333333335
0.98,0.001,0.01,128,128,1.05,14.1256
0.98,0.001,0.01,128,128,1.1,17.948533333333337
0.98,0.001,0.01,128,128,1.15,13.368533333333335
0.98,0.001,0.01,128,256,1.05,13.625866666666667
0.98,0.001,0.01,128,256,1.1,16.8904
0.98,0.001,0.01,128,256,1.15,13.266133333333334
0.98,0.001,0.01,256,64,1.05,15.149333333333335
0.98,0.001,0.01,256,64,1.1,18.144533333333335
0.98,0.001,0.01,256,64,1.15,20.123199999999997
0.98,0.001,0.01,256,128,1.05,18.7536
0.98,0.001,0.01,256,128,1.1,19.866933333333332
0.98,0.001,0.01,256,128,1.15,20.378933333333332
0.98,0.001,0.01,256,256,1.05,15.273599999999998
0.98,0.001,0.01,256,256,1.1,13.560533333333334
0.98,0.001,0.01,256,256,1.15,17.542399999999997
0.98,0.001,0.001,64,64,1.05,18.939733333333333
0.98,0.001,0.001,64,64,1.1,17.844266666666663
0.98,0.001,0.001,64,64,1.15,19.747733333333333
0.98,0.001,0.001,64,128,1.05,17.1488
0.98,0.001,0.001,64,128,1.1,18.8448
0.98,0.001,0.001,64,128,1.15,20.075466666666664
0.98,0.001,0.001,64,256,1.05,16.653333333333332
0.98,0.001,0.001,64,256,1.1,17.231466666666666
0.98,0.001,0.001,64,256,1.15,15.263466666666664
0.98,0.001,0.001,128,64,1.05,17.659466666666667
0.98,0.001,0.001,128,64,1.1,17.29866666666667
0.98,0.001,0.001,128,64,1.15,16.755733333333332
0.98,0.001,0.001,128,128,1.05,17.77413333333333
0.98,0.001,0.001,128,128,1.1,19.6464
0.98,0.001,0.001,128,128,1.15,14.073866666666666
0.98,0.001,0.001,128,256,1.05,16.50773333333333
0.98,0.001,0.001,128,256,1.1,15.310133333333331
0.98,0.001,0.001,128,256,1.15,16.8296
0.98,0.001,0.001,256,64,1.05,15.537600000000001
0.98,0.001,0.001,256,64,1.1,19.895733333333332
0.98,0.001,0.001,256,64,1.15,18.546933333333335
0.98,0.001,0.001,256,128,1.05,23.653866666666666
0.98,0.001,0.001,256,128,1.1,16.699466666666666
0.98,0.001,0.001,256,128,1.15,14.435733333333335
0.98,0.001,0.001,256,256,1.05,18.825066666666668
0.98,0.001,0.001,256,256,1.1,19.989866666666664
0.98,0.001,0.001,256,256,1.15,18.7728
0.98,0.001,0.0001,64,64,1.05,20.469866666666668
0.98,0.001,0.0001,64,64,1.1,21.5152
0.98,0.001,0.0001,64,64,1.15,21.965066666666665
0.98,0.001,0.0001,64,128,1.05,18.974666666666668
0.98,0.001,0.0001,64,128,1.1,22.74186666666667
0.98,0.001,0.0001,64,128,1.15,19.224
0.98,0.001,0.0001,64,256,1.05,17.36906666666667
0.98,0.001,0.0001,64,256,1.1,20.325066666666665
0.98,0.001,0.0001,64,256,1.15,21.810133333333333
0.98,0.001,0.0001,128,64,1.05,18.377333333333333
0.98,0.001,0.0001,128,64,1.1,18.7176
0.98,0.001,0.0001,128,64,1.15,24.529866666666667
0.98,0.001,0.0001,128,128,1.05,19.06666666666667
0.98,0.001,0.0001,128,128,1.1,16.8232
0.98,0.001,0.0001,128,128,1.15,17.802933333333332
0.98,0.001,0.0001,128,256,1.05,18.779199999999996
0.98,0.001,0.0001,128,256,1.1,22.115466666666666
0.98,0.001,0.0001,128,256,1.15,21.516266666666667
0.98,0.001,0.0001,256,64,1.05,18.167733333333334
0.98,0.001,0.0001,256,64,1.1,18.80346666666667
0.98,0.001,0.0001,256,64,1.15,18.347733333333334
0.98,0.001,0.0001,256,128,1.05,20.202933333333334
0.98,0.001,0.0001,256,128,1.1,21.7528
0.98,0.001,0.0001,256,128,1.15,18.26853333333333
0.98,0.001,0.0001,256,256,1.05,21.566666666666666
0.98,0.001,0.0001,256,256,1.1,19.340799999999998
0.98,0.001,0.0001,256,256,1.15,18.4128
0.98,0.0001,0.01,64,64,1.05,23.454933333333337
0.98,0.0001,0.01,64,64,1.1,26.325066666666668
0.98,0.0001,0.01,64,64,1.15,25.877066666666668
0.98,0.0001,0.01,64,128,1.05,22.20106666666667
0.98,0.0001,0.01,64,128,1.1,23.985599999999998
0.98,0.0001,0.01,64,128,1.15,24.731466666666666
0.98,0.0001,0.01,64,256,1.05,22.62293333333333
0.98,0.0001,0.01,64,256,1.1,22.819466666666663
0.98,0.0001,0.01,64,256,1.15,24.085866666666668
0.98,0.0001,0.01,128,64,1.05,19.668799999999997
0.98,0.0001,0.01,128,64,1.1,21.692
0.98,0.0001,0.01,128,64,1.15,22.344266666666663
0.98,0.0001,0.01,128,128,1.05,23.433600000000002
0.98,0.0001,0.01,128,128,1.1,23.356
0.98,0.0001,0.01,128,128,1.15,21.035733333333333
0.98,0.0001,0.01,128,256,1.05,23.113066666666665
0.98,0.0001,0.01,128,256,1.1,23.968
0.98,0.0001,0.01,128,256,1.15,22.748533333333334
0.98,0.0001,0.01,256,64,1.05,22.20586666666667
0.98,0.0001,0.01,256,64,1.1,24.268
0.98,0.0001,0.01,256,64,1.15,17.877066666666668
0.98,0.0001,0.01,256,128,1.05,21.5952
0.98,0.0001,0.01,256,128,1.1,23.540533333333332
0.98,0.0001,0.01,256,128,1.15,20.164
0.98,0.0001,0.01,256,256,1.05,19.212799999999998
0.98,0.0001,0.01,256,256,1.1,20.109066666666667
0.98,0.0001,0.01,256,256,1.15,17.8104
0.98,0.0001,0.001,64,64,1.05,23.09146666666667
0.98,0.0001,0.001,64,64,1.1,23.0784
0.98,0.0001,0.001,64,64,1.15,24.769333333333336
0.98,0.0001,0.001,64,128,1.05,21.863733333333332
0.98,0.0001,0.001,64,128,1.1,22.797866666666668
0.98,0.0001,0.001,64,128,1.15,25.078133333333334
0.98,0.0001,0.001,64,256,1.05,23.1928
0.98,0.0001,0.001,64,256,1.1,24.5888
0.98,0.0001,0.001,64,256,1.15,23.692533333333337
0.98,0.0001,0.001,128,64,1.05,24.0472
0.98,0.0001,0.001,128,64,1.1,21.5984
0.98,0.0001,0.001,128,64,1.15,22.413600000000002
0.98,0.0001,0.001,128,128,1.05,23.1912
0.98,0.0001,0.001,128,128,1.1,21.971200000000003
0.98,0.0001,0.001,128,128,1.15,23.064533333333333
0.98,0.0001,0.001,128,256,1.05,21.328533333333333
0.98,0.0001,0.001,128,256,1.1,23.938133333333333
0.98,0.0001,0.001,128,256,1.15,25.89173333333333
0.98,0.0001,0.001,256,64,1.05,23.9568
0.98,0.0001,0.001,256,64,1.1,24.28026666666667
0.98,0.0001,0.001,256,64,1.15,19.8656
0.98,0.0001,0.001,256,128,1.05,22.537599999999998
0.98,0.0001,0.001,256,128,1.1,25.819200000000002
0.98,0.0001,0.001,256,128,1.15,20.4832
0.98,0.0001,0.001,256,256,1.05,22.67386666666667
0.98,0.0001,0.001,256,256,1.1,23.21333333333333
0.98,0.0001,0.001,256,256,1.15,23.138133333333336
0.98,0.0001,0.0001,64,64,1.05,27.003733333333333
0.98,0.0001,0.0001,64,64,1.1,25.45253333333334
0.98,0.0001,0.0001,64,64,1.15,24.770933333333335
0.98,0.0001,0.0001,64,128,1.05,24.35386666666667
0.98,0.0001,0.0001,64,128,1.1,24.538666666666664
0.98,0.0001,0.0001,64,128,1.15,22.80266666666667
0.98,0.0001,0.0001,64,256,1.05,23.730133333333335
0.98,0.0001,0.0001,64,256,1.1,24.709066666666665
0.98,0.0001,0.0001,64,256,1.15,21.121066666666668
0.98,0.0001,0.0001,128,64,1.05,24.717066666666668
0.98,0.0001,0.0001,128,64,1.1,21.155733333333337
0.98,0.0001,0.0001,128,64,1.15,26.476
0.98,0.0001,0.0001,128,128,1.05,25.199733333333334
0.98,0.0001,0.0001,128,128,1.1,25.843466666666664
0.98,0.0001,0.0001,128,128,1.15,25.348266666666667
0.98,0.0001,0.0001,128,256,1.05,26.92506666666667
0.98,0.0001,0.0001,128,256,1.1,22.887733333333333
0.98,0.0001,0.0001,128,256,1.15,26.7632
0.98,0.0001,0.0001,256,64,1.05,23.012
0.98,0.0001,0.0001,256,64,1.1,24.5328
0.98,0.0001,0.0001,256,64,1.15,24.50266666666667
0.98,0.0001,0.0001,256,128,1.05,21.95146666666667
0.98,0.0001,0.0001,256,128,1.1,25.9848
0.98,0.0001,0.0001,256,128,1.15,18.651999999999997
0.98,0.0001,0.0001,256,256,1.05,24.4192
0.98,0.0001,0.0001,256,256,1.1,25.328799999999998
0.98,0.0001,0.0001,256,256,1.15,23.8408
0.985,0.01,0.01,64,64,1.05,15.769066666666669
0.985,0.01,0.01,64,64,1.1,20.82453333333333
0.985,0.01,0.01,64,64,1.15,19.264266666666668
0.985,0.01,0.01,64,128,1.05,13.895199999999999
0.985,0.01,0.01,64,128,1.1,15.330133333333333
0.985,0.01,0.01,64,128,1.15,16.502133333333333
0.985,0.01,0.01,64,256,1.05,12.0448
0.985,0.01,0.01,64,256,1.1,15.886666666666667
0.985,0.01,0.01,64,256,1.15,19.959200000000003
0.985,0.01,0.01,128,64,1.05,15.67013333333333
0.985,0.01,0.01,128,64,1.1,20.565066666666667
0.985,0.01,0.01,128,64,1.15,25.362933333333338
0.985,0.01,0.01,128,128,1.05,20.7352
0.985,0.01,0.01,128,128,1.1,14.902933333333333
0.985,0.01,0.01,128,128,1.15,22.7024
0.985,0.01,0.01,128,256,1.05,24.229599999999998
0.985,0.01,0.01,128,256,1.1,17.209866666666667
0.985,0.01,0.01,128,256,1.15,15.879733333333334
0.985,0.01,0.01,256,64,1.05,26.188266666666664
0.985,0.01,0.01,256,64,1.1,21.5744
0.985,0.01,0.01,256,64,1.15,20.8784
0.985,0.01,0.01,256,128,1.05,23.4144
0.985,0.01,0.01,256,128,1.1,21.196
0.985,0.01,0.01,256,128,1.15,23.014666666666663
0.985,0.01,0.01,256,256,1.05,23.392
0.985,0.01,0.01,256,256,1.1,20.184533333333334
0.985,0.01,0.01,256,256,1.15,26.404533333333337
0.985,0.01,0.001,64,64,1.05,19.077333333333332
0.985,0.01,0.001,64,64,1.1,17.422666666666668
0.985,0.01,0.001,64,64,1.15,24.236800000000002
0.985,0.01,0.001,64,128,1.05,13.155733333333334
0.985,0.01,0.001,64,128,1.1,20.876799999999996
0.985,0.01,0.001,64,128,1.15,15.2216
0.985,0.01,0.001,64,256,1.05,19.5704
0.985,0.01,0.001,64,256,1.1,18.961599999999997
0.985,0.01,0.001,64,256,1.15,19.7712
0.985,0.01,0.001,128,64,1.05,19.426133333333333
0.985,0.01,0.001,128,64,1.1,19.375466666666668
0.985,0.01,0.001,128,64,1.15,20.48186666666667
0.985,0.01,0.001,128,128,1.05,20.34453333333333
0.985,0.01,0.001,128,128,1.1,18.9976
0.985,0.01,0.001,128,128,1.15,14.291466666666665
0.985,0.01,0.001,128,256,1.05,20.2072
0.985,0.01,0.001,128,256,1.1,20.922666666666668
0.985,0.01,0.001,128,256,1.15,17.64053333333333
0.985,0.01,0.001,256,64,1.05,20.905066666666666
0.985,0.01,0.001,256,64,1.1,21.17653333333333
0.985,0.01,0.001,256,64,1.15,20.543466666666667
0.985,0.01,0.001,256,128,1.05,22.211733333333335
0.985,0.01,0.001,256,128,1.1,24.5032
0.985,0.01,0.001,256,128,1.15,21.54906666666667
0.985,0.01,0.001,256,256,1.05,21.075733333333332
0.985,0.01,0.001,256,256,1.1,23.605600000000003
0.985,0.01,0.001,256,256,1.15,23.176266666666667
0.985,0.01,0.0001,64,64,1.05,21.401866666666667
0.985,0.01,0.0001,64,64,1.1,23.049599999999998
0.985,0.01,0.0001,64,64,1.15,18.137066666666666
0.985,0.01,0.0001,64,128,1.05,21.354666666666667
0.985,0.01,0.0001,64,128,1.1,22.949866666666665
0.985,0.01,0.0001,64,128,1.15,17.131733333333333
0.985,0.01,0.0001,64,256,1.05,21.99013333333333
0.985,0.01,0.0001,64,256,1.1,18.9528
0.985,0.01,0.0001,64,256,1.15,17.7576
0.985,0.01,0.0001,128,64,1.05,23.914133333333332
0.985,0.01,0.0001,128,64,1.1,22.9
0.985,0.01,0.0001,128,64,1.15,22.766666666666666
0.985,0.01,0.0001,128,128,1.05,20.706666666666667
0.985,0.01,0.0001,128,128,1.1,24.513066666666663
0.985,0.01,0.0001,128,128,1.15,22.345066666666668
0.985,0.01,0.0001,128,256,1.05,17.162399999999998
0.985,0.01,0.0001,128,256,1.1,22.418400000000002
0.985,0.01,0.0001,128,256,1.15,22.947999999999997
0.985,0.01,0.0001,256,64,1.05,26.320533333333334
0.985,0.01,0.0001,256,64,1.1,24.745866666666664
0.985,0.01,0.0001,256,64,1.15,22.1392
0.985,0.01,0.0001,256,128,1.05,19.673333333333332
0.985,0.01,0.0001,256,128,1.1,26.676266666666663
0.985,0.01,0.0001,256,128,1.15,24.045066666666663
0.985,0.01,0.0001,256,256,1.05,26.270400000000002
0.985,0.01,0.0001,256,256,1.1,23.412266666666667
0.985,0.01,0.0001,256,256,1.15,22.601866666666663
0.985,0.001,0.01,64,64,1.05,14.733866666666666
0.985,0.001,0.01,64,64,1.1,18.395466666666668
0.985,0.001,0.01,64,64,1.15,18.438133333333333
0.985,0.001,0.01,64,128,1.05,17.26293333333333
0.985,0.001,0.01,64,128,1.1,17.372000000000003
0.985,0.001,0.01,64,128,1.15,15.7808
0.985,0.001,0.01,64,256,1.05,15.4208
0.985,0.001,0.01,64,256,1.1,17.582933333333333
0.985,0.001,0.01,64,256,1.15,17.123199999999997
0.985,0.001,0.01,128,64,1.05,18.745333333333335
0.985,0.001,0.01,128,64,1.1,14.586666666666668
0.985,0.001,0.01,128,64,1.15,17.4968
0.985,0.001,0.01,128,128,1.05,16.349600000000002
0.985,0.001,0.01,128,128,1.1,15.818666666666667
0.985,0.001,0.01,128,128,1.15,17.72506666666667
0.985,0.001,0.01,128,256,1.05,14.209066666666667
0.985,0.001,0.01,128,256,1.1,16.714666666666666
0.985,0.001,0.01,128,256,1.15,15.685866666666666
0.985,0.001,0.01,256,64,1.05,16.781333333333333
0.985,0.001,0.01,256,64,1.1,18.537333333333333
0.985,0.001,0.01,256,64,1.15,19.573866666666667
0.985,0.001,0.01,256,128,1.05,17.759733333333333
0.985,0.001,0.01,256,128,1.1,16.1264
0.985,0.001,0.01,256,128,1.15,18.798933333333334
0.985,0.001,0.01,256,256,1.05,15.193333333333333
0.985,0.001,0.01,256,256,1.1,19.035466666666668
0.985,0.001,0.01,256,256,1.15,13.9464
0.985,0.001,0.001,64,64,1.05,19.938399999999998
0.985,0.001,0.001,64,64,1.1,22.400266666666667
0.985,0.001,0.001,64,64,1.15,18.09466666666667
0.985,0.001,0.001,64,128,1.05,15.420266666666668
0.985,0.001,0.001,64,128,1.1,17.4432
0.985,0.001,0.001,64,128,1.15,20.904000000000003
0.985,0.001,0.001,64,256,1.05,16.766933333333334
0.985,0.001,0.001,64,256,1.1,17.920266666666667
0.985,0.001,0.001,64,256,1.15,20.1072
0.985,0.001,0.001,128,64,1.05,18.086133333333333
0.985,0.001,0.001,128,64,1.1,14.872
0.985,0.001,0.001,128,64,1.15,21.311466666666668
0.985,0.001,0.001,128,128,1.05,18.520533333333333
0.985,0.001,0.001,128,128,1.1,21.892266666666664
0.985,0.001,0.001,128,128,1.15,18.213866666666668
0.985,0.001,0.001,128,256,1.05,17.69786666666667
